model_id,model_family,alignment_status,params_b,dense_pc1_score,flat_pc1_score,delta_pc1_score
01-ai/Yi-1.5-9B,Yi,base,9.0,-0.492185232861376,-0.6509047695443441,-0.11854023586170759
01-ai/Yi-1.5-9B-chat,Yi,instruct,9.0,-0.7800646327573926,-0.8151243955770429,-0.1762320119266077
01-ai/Yi-34B,Yi,base,34.0,-2.6782801836928303,-2.5952249859317065,-0.06343695924391651
01-ai/Yi-34B-Chat,Yi,instruct,34.0,-2.7432009284812047,-2.6633287089024975,-0.05630267842063769
01-ai/Yi-6B,Yi,base,6.0,-2.1680429374122614,-2.1654685875326956,-0.1239818806954335
01-ai/Yi-6B-Chat,Yi,instruct,6.0,-2.2331604395159608,-2.233977967144665,-0.09141880164735823
01-ai/Yi-9B,Yi,base,9.0,-0.6590882537259025,-0.7959899121353251,-0.14278593248036894
01-ai/Yi-9B-200K,Yi,base,9.0,-0.5793474321050036,-0.7150598010804388,-0.1224662717178694
ByteDance/Ouro-2.6B-Thinking,Other,base,2.6,4.618996823788541,4.956762898495505,-0.09820286500045511
CalderaAI/13B-Ouroboros,Other,base,13.0,2.4190496010196005,2.6115138639080064,-0.1295719353894945
CalderaAI/13B-Theseus-MK1,Other,base,13.0,-2.307907707747679,-2.2959086778376228,-0.11525417279076258
EleutherAI/pythia-1.4b-deduped,Pythia,base,1.4,1.181685973884792,1.0821470361897119,-0.22408685622804164
EleutherAI/pythia-2.8b,Pythia,base,2.8,2.0424169639905165,2.0038683844441794,0.19172313194422994
EleutherAI/pythia-70m,Pythia,base,0.07,1.8771421308554237,1.74502574426755,-0.13843296207348865
HuggingFaceH4/zephyr-7b-beta,Other,base,7.0,-1.8831936429670173,-1.8190726275189057,-0.1457136463283373
Qwen/QwQ-32B,Qwen,base,32.0,3.074207469965576,3.0774860546742726,0.37622041804338174
Qwen/QwQ-32B-Preview,Qwen,base,32.0,3.2857123310926597,3.2494982577577187,0.3449202830888686
Qwen/Qwen2.5-14B-Instruct,Qwen,instruct,14.0,1.8216916356147834,1.6149739778013474,0.38030686409464526
Qwen/Qwen2.5-3B,Qwen,base,3.0,3.3089977009419154,3.1381778546503716,0.366399616948584
Qwen/Qwen2.5-3B-Instruct,Qwen,instruct,3.0,3.308301103591478,3.2111048835915925,0.3443033173768148
Qwen/Qwen3-1.7B,Qwen,base,1.7,0.3636665324027198,0.495733804944584,0.006289647101801467
Qwen/Qwen3-1.7B-Base,Qwen,base,1.7,0.7040785556112178,0.7535796513614454,0.005557080472768164
Qwen/Qwen3-14B,Qwen,base,14.0,-0.4477402084583325,-0.6885801606378381,0.16290686427539028
Qwen/Qwen3-14B-Base,Qwen,base,14.0,-0.1602471146694979,-0.487938900225767,0.1870356173948975
Qwen/Qwen3-4B,Qwen,base,4.0,-0.22045911046797628,-0.5177306434262106,0.029172616682679627
Qwen/Qwen3-8B-Base,Qwen,base,8.0,-0.42911066018751254,-0.735314016676979,0.1031963969251303
TildeAI/TildeOpen-30b,Other,base,30.0,-0.4979741341353409,-0.7387109282562822,0.020453864123684794
WeiboAI/VibeThinker-1.5B,Other,base,1.5,1.5623476050247802,1.5030100979012953,-0.09524801740895225
allenai/OLMo-2-1124-13B,OLMo,base,13.0,-1.4478682137217622,-1.7381362436040506,-0.028181299588725565
cyberagent/calm3-22b-chat,Other,instruct,22.0,-1.8271003056321424,-1.8558897682774493,-0.12671078947584435
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Qwen,base,14.0,3.589957081143666,3.5230349017932276,0.24890943713751076
deepseek-ai/deepseek-llm-7b-base,DeepSeek,base,7.0,-0.9808480652413742,-1.0154409458990512,0.0801005306987077
dphn/Dolphin-Mistral-24B-Venice-Edition,Mistral,instruct,24.0,-0.7002221373379144,-0.6630477720234336,-0.0027545159114740407
dphn/dolphin-2.9.1-yi-1.5-34b,Yi,base,34.0,-2.817150145272167,-2.7051956696916295,-0.07959369450666545
lmsys/vicuna-7b-v1.5,Other,base,7.0,-1.2674717258649024,-1.1343012204341019,-0.10231401635746246
meta-llama/Llama-3.1-8B,LLaMA,base,8.0,-0.30406371266130305,-0.359060396082055,0.13849257783841165
meta-llama/Llama-3.1-8B-Instruct,LLaMA,instruct,8.0,-0.31756231084867237,-0.4109759609674133,0.1620413040286149
meta-llama/Llama-3.2-1B,LLaMA,base,1.0,3.746512647574473,3.85863580680462,-0.1087375668247829
meta-llama/Llama-3.2-3B,LLaMA,base,3.0,0.7691130029803853,0.8868412011699291,-0.10396430524848485
meta-llama/Llama-3.2-3B-Instruct,LLaMA,instruct,3.0,0.5029072171711002,0.6217938493978493,-0.04381542715309152
meta-llama/Meta-Llama-3-8B,LLaMA,base,8.0,-0.34985359337589206,-0.40097982530116233,0.0906276552761363
meta-llama/Meta-Llama-3-8B-Instruct,LLaMA,instruct,8.0,-0.4988891287418091,-0.626859834172467,0.1554398322341201
microsoft/Phi-4-reasoning-plus,Phi,base,14.0,-2.4831040933279955,-2.2267113688672135,-0.04765986492726923
microsoft/phi-2,Phi,base,2.7,0.7545465504573241,0.9323493750628291,0.5344973261020884
microsoft/phi-4,Phi,base,14.0,-2.5185484346667946,-2.20953269280517,-0.14856421995858984
mistralai/Mistral-7B-Instruct-v0.2,Mistral,instruct,7.0,-1.7988352611879581,-1.693477172739755,-0.16238496693355275
mistralai/Mistral-7B-Instruct-v0.3,Mistral,instruct,7.0,-1.8436455014272466,-1.7397587116262183,-0.1424255245732512
mistralai/Mistral-7B-v0.1,Mistral,base,7.0,-1.8482369034793562,-1.7641165475313605,-0.11686231197751726
mistralai/Mistral-7B-v0.3,Mistral,base,7.0,-1.8805060734328025,-1.7958787596484465,-0.12236927957499916
nvidia/Nemotron-Research-Reasoning-Qwen-1.5B,Qwen,base,1.5,6.879252136177369,6.901730841130976,0.024853446081273576
openai-community/gpt2,Other,instruct,0.12,2.614704833465047,2.868131687621386,-0.41749232024655736
openai-community/gpt2-medium,Other,instruct,0.35,1.8380829612134861,2.167367894314644,-0.33225759719523223
openai-community/gpt2-xl,Other,instruct,1.5,-1.3646234658344565,-1.1844430120263871,-0.07826120422481259
sshleifer/tiny-gpt2,Other,base,0.001,0.022584731342432135,0.08812339168144093,-0.08370184184644115
stabilityai/StableBeluga-13B,StabilityAI,instruct,13.0,-2.2518621143222504,-2.2616254662825495,-0.053033846438656156
stabilityai/StableBeluga-7B,StabilityAI,instruct,7.0,-1.0559343785768227,-0.9518549026000344,-0.03485255827401773
stabilityai/stablelm-2-12b,StabilityAI,instruct,12.0,-2.0250085946574385,-2.174811758514609,0.15172646077775967
stabilityai/stablelm-2-12b-chat,StabilityAI,instruct,12.0,-2.424618810512935,-2.4604583474416146,0.07243808980335963
