model_id,model_family,alignment_status,params_b,norm_band_deviation
ByteDance/Ouro-2.6B-Thinking,Other,base,2.6,1.8998035934024724
CalderaAI/13B-Ouroboros,Other,base,13.0,1.5962069215521888
openai-community/gpt2,Other,instruct,0.12,1.3514503812031604
EleutherAI/pythia-2.8b,Pythia,base,2.8,1.329737955878426
nvidia/Nemotron-Research-Reasoning-Qwen-1.5B,Qwen,base,1.5,1.2840842067396363
Qwen/Qwen2.5-3B-Instruct,Qwen,instruct,3.0,1.0762205578809168
Qwen/Qwen2.5-3B,Qwen,base,3.0,1.0650600596634643
EleutherAI/pythia-1.4b-deduped,Pythia,base,1.4,1.040264294826453
openai-community/gpt2-medium,Other,instruct,0.35,1.0005008082499354
Qwen/Qwen3-1.7B,Qwen,base,1.7,0.9869649443886562
Qwen/Qwen3-1.7B-Base,Qwen,base,1.7,0.9396469807054806
openai-community/gpt2-xl,Other,instruct,1.5,0.902637083417103
meta-llama/Llama-3.2-1B,LLaMA,base,1.0,0.8859097035710944
microsoft/phi-2,Phi,base,2.7,0.8777762678807227
WeiboAI/VibeThinker-1.5B,Other,base,1.5,0.8193678626405952
dphn/dolphin-2.9.1-yi-1.5-34b,Yi,base,34.0,0.8186195064324677
01-ai/Yi-9B,Yi,base,9.0,0.8166916731905238
01-ai/Yi-9B-200K,Yi,base,9.0,0.8150739400862355
01-ai/Yi-1.5-9B,Yi,base,9.0,0.8017420361819458
01-ai/Yi-34B-Chat,Yi,instruct,34.0,0.8011688240861372
allenai/OLMo-2-1124-13B,OLMo,base,13.0,0.7813158654694671
Qwen/QwQ-32B-Preview,Qwen,base,32.0,0.779263561425943
01-ai/Yi-34B,Yi,base,34.0,0.778362249600838
microsoft/Phi-4-reasoning-plus,Phi,base,14.0,0.775158764809909
stabilityai/StableBeluga-13B,StabilityAI,instruct,13.0,0.7709933448202916
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Qwen,base,14.0,0.7643531916188658
microsoft/phi-4,Phi,base,14.0,0.7592579611738642
Qwen/QwQ-32B,Qwen,base,32.0,0.7540447435656379
stabilityai/stablelm-2-12b-chat,StabilityAI,instruct,12.0,0.7394333084422726
01-ai/Yi-1.5-9B-chat,Yi,instruct,9.0,0.7205659443361319
Qwen/Qwen3-4B,Qwen,base,4.0,0.6868289141315429
CalderaAI/13B-Theseus-MK1,Other,base,13.0,0.6767915085565697
01-ai/Yi-6B-Chat,Yi,instruct,6.0,0.6754028852502887
01-ai/Yi-6B,Yi,base,6.0,0.6626786801947071
EleutherAI/pythia-70m,Pythia,base,0.07,0.6514168761786321
stabilityai/stablelm-2-12b,StabilityAI,instruct,12.0,0.644915781495281
Qwen/Qwen2.5-14B-Instruct,Qwen,instruct,14.0,0.6360374863431789
Qwen/Qwen3-8B-Base,Qwen,base,8.0,0.6326806228714177
Qwen/Qwen3-14B,Qwen,base,14.0,0.5883087861995473
cyberagent/calm3-22b-chat,Other,instruct,22.0,0.5699696221849544
mistralai/Mistral-7B-v0.3,Mistral,base,7.0,0.5568112290833745
Qwen/Qwen3-14B-Base,Qwen,base,14.0,0.5561307608153929
HuggingFaceH4/zephyr-7b-beta,Other,base,7.0,0.5560200831020845
dphn/Dolphin-Mistral-24B-Venice-Edition,Mistral,instruct,24.0,0.5541194655876587
mistralai/Mistral-7B-Instruct-v0.3,Mistral,instruct,7.0,0.5522521411023611
sshleifer/tiny-gpt2,Other,base,0.001,0.547285021560636
mistralai/Mistral-7B-Instruct-v0.2,Mistral,instruct,7.0,0.5429622705906486
meta-llama/Llama-3.2-3B,LLaMA,base,3.0,0.5392427711322803
mistralai/Mistral-7B-v0.1,Mistral,base,7.0,0.535599357943583
lmsys/vicuna-7b-v1.5,Other,base,7.0,0.5038608060591357
stabilityai/StableBeluga-7B,StabilityAI,instruct,7.0,0.4917192810574934
deepseek-ai/deepseek-llm-7b-base,DeepSeek,base,7.0,0.48949752341238073
meta-llama/Llama-3.2-3B-Instruct,LLaMA,instruct,3.0,0.4888084569128751
TildeAI/TildeOpen-30b,Other,base,30.0,0.46409533833022243
meta-llama/Llama-3.1-8B-Instruct,LLaMA,instruct,8.0,0.4291003106197702
meta-llama/Meta-Llama-3-8B-Instruct,LLaMA,instruct,8.0,0.4220294263512853
meta-llama/Meta-Llama-3-8B,LLaMA,base,8.0,0.4146831153127502
meta-llama/Llama-3.1-8B,LLaMA,base,8.0,0.41065296816969793
