model_id,prompt_set,model_family,alignment_status,params_b,delta_1xL40S,delta_A10G,phi_1xL40S,phi_A10G,wli_dense_1xL40S,wli_dense_A10G,wli_flat_1xL40S,wli_flat_A10G,delta_difference,wli_dense_difference,curve_similarity
ByteDance/Ouro-2.6B-Thinking,prompts_1,Other,base,2.6,-0.0016660818958544876,-0.0016709426390856263,0.0005281741969054843,0.0005274744859108949,0.5230620350859775,0.5230577990862512,0.524728116981832,0.5247287417253368,-4.86074323113872e-06,-4.235999726320827e-06,0.9999999704474607
ByteDance/Ouro-2.6B-Thinking,prompts_2,Other,base,2.6,-0.0008383891277075062,-0.0006960728173356356,0.0002198631114370131,0.0003102481767208731,0.5239636238260578,0.5239398848059703,0.5248020129537653,0.524635957623306,0.00014231631037187054,-2.373902008745432e-05,0.9999910677318415
EleutherAI/pythia-70m,prompts_1,Pythia,base,0.07,-0.00012523188511959216,-0.00012390953314911357,-0.0006423094555076947,-0.0006436243341659265,0.5306510915442655,0.5306500830697671,0.5307763234293851,0.5307739926029162,1.3223519704785858e-06,-1.0084744983540617e-06,0.9999999821591952
EleutherAI/pythia-70m,prompts_2,Pythia,base,0.07,0.00033396819042808,0.00033044618849309426,-0.0005357559471066975,-0.0005348112374787273,0.530781832962945,0.5307798028030452,0.5304478647725169,0.5304493566145521,-3.5220019349857523e-06,-2.030159899857331e-06,0.9999999992280483
HuggingFaceH4/zephyr-7b-beta,prompts_1,Other,base,7.0,-0.0011231552317848559,-0.0011281484965149913,0.000749979253131472,0.0007456969870406893,0.539117517555797,0.5391201332506914,0.5402406727875818,0.5402482817472064,-4.993264730135394e-06,2.6156948944588976e-06,0.9999998628300708
HuggingFaceH4/zephyr-7b-beta,prompts_2,Other,base,7.0,-5.243477494987214e-05,-5.2924786212438235e-05,0.00011096373541025217,0.00010968786662163277,0.5398963833754977,0.5399030350563936,0.5399488181504476,0.539955959842606,-4.900112625660924e-07,6.651680895863876e-06,0.9999998077450201
Qwen/QwQ-32B,prompts_1,Qwen,base,32.0,0.0001063951973416799,0.00010662817746165398,0.0005663072654918389,0.0005662206493969868,0.5159913436783007,0.5159959661775141,0.515884948480959,0.5158893380000524,2.3298011997407997e-07,4.62249921340252e-06,0.9999999261534387
Qwen/QwQ-32B,prompts_2,Qwen,base,32.0,0.0001700206209620525,0.00017076071671862092,-8.024752262492107e-05,-7.998536867676043e-05,0.5157248508170933,0.5157305164036876,0.5155548301961312,0.515559755686969,7.400957565684152e-07,5.665586594316707e-06,0.9999998900094245
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,prompts_1,Qwen,base,14.0,0.0006903373653189826,0.0006892063722824249,0.0006001718405461154,0.0005993448635396303,0.5159278271349176,0.5159312500268198,0.5152374897695986,0.5152420436545374,-1.1309930365577259e-06,3.4228919022494253e-06,0.9999999022542774
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,prompts_2,Qwen,base,14.0,0.00023181096099811338,0.0002314507387682907,-3.850387577380987e-05,-3.907618938547852e-05,0.5154655407719927,0.5154709396218415,0.5152337298109946,0.5152394888830732,-3.6022222982268204e-07,5.398849848847753e-06,0.999999878921725
dphn/Dolphin-Mistral-24B-Venice-Edition,prompts_1,Mistral,instruct,24.0,-0.0006275054662976398,-0.0006341437459946864,0.0005700453396725869,0.0005700008901024511,0.5314643305397123,0.5314539847256436,0.53209183600601,0.5320881284716383,-6.638279697046556e-06,-1.0345814068668524e-05,0.99999933156166
dphn/Dolphin-Mistral-24B-Venice-Edition,prompts_2,Mistral,instruct,24.0,9.782443695693921e-05,9.364169206427242e-05,0.00016547843380709804,0.00016639633922105324,0.5319425446387027,0.5319374463676466,0.5318447202017458,0.5318438046755823,-4.18274489266679e-06,-5.098271056103165e-06,0.9999992860119178
dphn/dolphin-2.9.1-yi-1.5-34b,prompts_1,Yi,base,34.0,0.0014216631889898412,0.0013985747871134713,0.000618851321628866,0.0006172393774851459,0.5377599836742746,0.5377690101401943,0.5363383204852847,0.5363704353530808,-2.3088401876369957e-05,9.026465919714788e-06,0.9999991221966076
dphn/dolphin-2.9.1-yi-1.5-34b,prompts_2,Yi,base,34.0,0.0013411352356498263,0.0013173401886332758,0.00015472637514435394,0.0001435950932755503,0.5374776890768347,0.5374879623298295,0.5361365538411849,0.5361706221411963,-2.379504701655044e-05,1.0273252994852378e-05,0.9999992841047309
lmsys/vicuna-7b-v1.5,prompts_1,Other,base,7.0,-0.0001761754866742571,-0.0001743986415349008,0.00017089107285839233,0.00017007837556959338,0.5244236904907895,0.5244261350363218,0.5245998659774638,0.5246005336778568,1.7768451393562756e-06,2.4445455323318654e-06,0.9999999890039181
lmsys/vicuna-7b-v1.5,prompts_2,Other,base,7.0,0.0004489980395517845,0.0004487336998642011,0.00023187552982445458,0.0002314835359559786,0.5246184472973118,0.5246191324651488,0.52416944925776,0.5241703987652846,-2.6433968758343696e-07,6.851678370223269e-07,0.9999999945664013
microsoft/phi-2,prompts_1,Phi,base,2.7,0.00012573979104602007,0.0001264104865718041,0.000682277151904942,0.0006818029178218832,0.5073205426875603,0.5073195305087814,0.5071948028965143,0.5071931200222096,6.706955257840264e-07,-1.0121787789030279e-06,0.9999999485055966
microsoft/phi-2,prompts_2,Phi,base,2.7,0.00018932660824688696,0.0001911346802689895,0.00022441507468146105,0.00022335479570712025,0.507300378301372,0.5073001084474555,0.5071110516931251,0.5071089737671866,1.808072022102536e-06,-2.69853916434748e-07,0.9999998907115606
microsoft/phi-4,prompts_1,Phi,base,14.0,-0.00053811500658274,-0.0005398553554034624,0.00033280231625976153,0.00033236643731487936,0.5272919292856337,0.5272916764859618,0.5278300442922165,0.5278315318413652,-1.7403488207223816e-06,-2.5279967197366915e-07,0.9999999953493743
microsoft/phi-4,prompts_2,Phi,base,14.0,3.7876383539470204e-05,3.885704138439916e-05,4.655888228843885e-07,-2.0106421749765957e-08,0.5275901084893487,0.5275914228219901,0.5275522321058093,0.5275525657806057,9.80657844928956e-07,1.3143326413889156e-06,0.9999999931829591
mistralai/Mistral-7B-v0.1,prompts_1,Mistral,base,7.0,-0.0009699117551998926,-0.0009713706909665332,0.0008115670692801502,0.000811703971455191,0.5390344645558255,0.5390362879062855,0.5400043763110254,0.5400076585972521,-1.4589357666405789e-06,1.8233504600617678e-06,0.999999994442184
mistralai/Mistral-7B-v0.1,prompts_2,Mistral,base,7.0,8.644280433711682e-05,8.560282096825578e-05,0.00011803722275965933,0.00011835640931556757,0.5397585555055922,0.539760718717383,0.539672112701255,0.5396751158964147,-8.399833688610414e-07,2.163211790806585e-06,0.9999999931785992
sshleifer/tiny-gpt2,prompts_1,Other,base,0.001,1.9486699647353056e-05,1.9485588629852835e-05,4.206006420093278e-06,4.205774575882781e-06,0.601648040329466,0.6016480386925867,0.6016285536298186,0.6016285531039568,-1.1110175002215783e-09,-1.6368792987719871e-09,0.9999999999999999
sshleifer/tiny-gpt2,prompts_2,Other,base,0.001,-0.00012747472437768526,-0.00012747461543693994,-2.6343595710465184e-05,-2.6343573670539744e-05,0.6017342792007213,0.6017342793096621,0.601861753925099,0.601861753925099,1.0894074531364595e-10,1.0894074531364595e-10,1.0
stabilityai/StableBeluga-13B,prompts_1,StabilityAI,instruct,13.0,-0.00013327007087127196,-0.00013302350360855364,0.00015415678304092628,0.00015407507173825774,0.5220335563246467,0.5220331564912051,0.5221668263955179,0.5221661799948136,2.465672627183224e-07,-3.9983344157779044e-07,0.9999999969449183
stabilityai/StableBeluga-13B,prompts_2,StabilityAI,instruct,13.0,0.00029667288013157656,0.0002964051090891262,1.4037251974630127e-05,1.388600638591031e-05,0.5222551445429751,0.5222547302636397,0.5219584716628435,0.5219583251545505,-2.6777104245034877e-07,-4.142793353922869e-07,0.9999999971926454
stabilityai/StableBeluga-7B,prompts_1,StabilityAI,instruct,7.0,-1.9217969044138528e-05,-1.5003047010297976e-05,0.00010969178187303363,0.00011005637312005989,0.5255977288273482,0.5256040102714374,0.5256169467963924,0.5256190133184477,4.214922033840551e-06,6.2814440892067225e-06,0.9999999720700257
stabilityai/StableBeluga-7B,prompts_2,StabilityAI,instruct,7.0,0.0006390347531413099,0.0006389418200423158,0.0001783225650056619,0.00017845722892673166,0.5258406918077443,0.5258446845649708,0.525201657054603,0.5252057427449285,-9.293309899405244e-08,3.992757226511934e-06,0.9999999841101246
