model_id,hardware_group,model_family,alignment_status,params_b,delta_prompts_1,delta_prompts_2,phi_prompts_1,phi_prompts_2,wli_dense_prompts_1,wli_dense_prompts_2,wli_flat_prompts_1,wli_flat_prompts_2,delta_difference,dense_similarity,flat_similarity,delta_curve_similarity
ByteDance/Ouro-2.6B-Thinking,1xL40S,Other,base,2.6,-0.0016660818958544876,-0.0008383891277075062,0.0005281741969054843,0.0002198631114370131,0.5230620350859775,0.5239636238260578,0.524728116981832,0.5248020129537653,-0.0008276927681469815,0.9999482246240144,0.9998553553272868,0.47881212284335883
ByteDance/Ouro-2.6B-Thinking,A10G,Other,base,2.6,-0.0016709426390856263,-0.0006960728173356356,0.0005274744859108949,0.0003102481767208731,0.5230577990862512,0.5239398848059703,0.5247287417253368,0.524635957623306,-0.0009748698217499907,0.9999455975060199,0.9998280046908123,0.531635713915646
EleutherAI/pythia-70m,1xL40S,Pythia,base,0.07,-0.00012523188511959216,0.00033396819042808,-0.0006423094555076947,-0.0005357559471066975,0.5306510915442655,0.530781832962945,0.5307763234293851,0.5304478647725169,-0.00045920007554767217,0.9999143413485403,0.9999208896560067,0.9737491000974033
EleutherAI/pythia-70m,A10G,Pythia,base,0.07,-0.00012390953314911357,0.00033044618849309426,-0.0006436243341659265,-0.0005348112374787273,0.5306500830697671,0.5307798028030452,0.5307739926029162,0.5304493566145521,-0.00045435572164220783,0.9999144422055813,0.9999213164797033,0.9732282114678615
HuggingFaceH4/zephyr-7b-beta,1xL40S,Other,base,7.0,-0.0011231552317848559,-5.243477494987214e-05,0.000749979253131472,0.00011096373541025217,0.539117517555797,0.5398963833754977,0.5402406727875818,0.5399488181504476,-0.0010707204568349837,0.999326443439788,0.9998263332164715,0.724983393968316
HuggingFaceH4/zephyr-7b-beta,A10G,Other,base,7.0,-0.0011281484965149913,-5.2924786212438235e-05,0.0007456969870406893,0.00010968786662163277,0.5391201332506914,0.5399030350563936,0.5402482817472064,0.539955959842606,-0.001075223710302553,0.99933238438953,0.9998259625780643,0.7230169776113673
Qwen/QwQ-32B,1xL40S,Qwen,base,32.0,0.0001063951973416799,0.0001700206209620525,0.0005663072654918389,-8.024752262492107e-05,0.5159913436783007,0.5157248508170933,0.515884948480959,0.5155548301961312,-6.36254236203726e-05,0.9980300666632702,0.9993275568700654,0.44902442977395574
Qwen/QwQ-32B,A10G,Qwen,base,32.0,0.00010662817746165398,0.00017076071671862092,0.0005662206493969868,-7.998536867676043e-05,0.5159959661775141,0.5157305164036876,0.5158893380000524,0.515559755686969,-6.413253925696694e-05,0.9980341714490507,0.9993307765424143,0.45173059812370375
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,1xL40S,Qwen,base,14.0,0.0006903373653189826,0.00023181096099811338,0.0006001718405461154,-3.850387577380987e-05,0.5159278271349176,0.5154655407719927,0.5152374897695986,0.5152337298109946,0.0004585264043208692,0.9978835162019175,0.9993705853964241,0.42525197905611883
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,A10G,Qwen,base,14.0,0.0006892063722824249,0.0002314507387682907,0.0005993448635396303,-3.907618938547852e-05,0.5159312500268198,0.5154709396218415,0.5152420436545374,0.5152394888830732,0.0004577556335141342,0.9978881890481279,0.9993705740502564,0.42381009485525445
