model_id,model_family,training_step,params_b,wli_dense,wli_flat,wsd_dense,wsd_flat,delta,phi
EleutherAI/pythia-12b-deduped,Pythia,8,12.0,0.500002591942452,0.49999528483216527,0.296778328431425,0.2967780389840279,7.30711028673614e-06,-2.8944739710601297e-07
EleutherAI/pythia-12b-deduped,Pythia,1000,12.0,0.4989099010178149,0.4989655802162214,0.2994166521944133,0.2993956618822627,-5.5679198406488606e-05,-2.099031215063718e-05
EleutherAI/pythia-12b-deduped,Pythia,5000,12.0,0.5046830573598863,0.5048061746660907,0.2987313448452789,0.29878953347148346,-0.0001231173062044011,5.8188626204547234e-05
EleutherAI/pythia-12b-deduped,Pythia,7000,12.0,0.5047600104646818,0.5049199199162689,0.29860098390781437,0.29868401398858785,-0.00015990945158717018,8.303008077348295e-05
EleutherAI/pythia-12b-deduped,Pythia,10000,12.0,0.5051916173192595,0.5052279048635958,0.29836585747080446,0.29844123821920887,-3.6287544336266464e-05,7.538074840440778e-05
EleutherAI/pythia-12b-deduped,Pythia,15000,12.0,0.5055212438043627,0.505677215977008,0.29755093534888444,0.2975751587148233,-0.00015597217264529117,2.4223365938880193e-05
EleutherAI/pythia-12b-deduped,Pythia,20000,12.0,0.5059671202992936,0.5061150749648032,0.2972736100547175,0.2972889005839185,-0.00014795466550965308,1.5290529201017478e-05
EleutherAI/pythia-12b-deduped,Pythia,25000,12.0,0.5060685624167915,0.5060576435960057,0.2971268702061239,0.29717185110501243,1.09188207858546e-05,4.498089888854695e-05
EleutherAI/pythia-12b-deduped,Pythia,27000,12.0,0.5062072129428724,0.5062614514419956,0.29708163046191033,0.2970568275770332,-5.423849912322698e-05,-2.4802884877106468e-05
EleutherAI/pythia-12b-deduped,Pythia,33000,12.0,0.5063056129331993,0.5063205310578942,0.2969650721431751,0.2969641149007346,-1.4918124694895951e-05,-9.572424404802327e-07
EleutherAI/pythia-12b-deduped,Pythia,143000,12.0,0.5076898986924004,0.5077184773763143,0.29667673690515556,0.29665347113705526,-2.8578683913815794e-05,-2.326576810030012e-05
allenai/OLMo-2-1124-13B,OLMo,1100,13.0,0.8649835284860533,0.8593122068694795,0.16460999061286055,0.15864235510505004,0.005671321616573799,-0.005967635507810515
allenai/OLMo-2-1124-13B,OLMo,9000,13.0,0.6212724673974768,0.5576958791783757,0.27452680227713006,0.2841111127152026,0.06357658821910106,0.009584310438072563
allenai/OLMo-2-1124-13B,OLMo,23000,13.0,0.5313238800439094,0.5311635416374767,0.29054518414691,0.29062504637526493,0.00016033840643270292,7.986222835493217e-05
allenai/OLMo-2-1124-13B,OLMo,36000,13.0,0.532613819335908,0.5324961950369498,0.29093739128021107,0.29094823765824135,0.0001176242989582299,1.0846378030282544e-05
allenai/OLMo-2-1124-13B,OLMo,60000,13.0,0.5313812655903998,0.53069712037849,0.2924466644764443,0.29234942869089225,0.0006841452119097369,-9.723578555204115e-05
allenai/OLMo-2-1124-13B,OLMo,72000,13.0,0.5307807974002567,0.5305901401580988,0.2930801019308885,0.2928899700524151,0.00019065724215794333,-0.00019013187847338742
allenai/OLMo-2-1124-13B,OLMo,90000,13.0,0.529294323252448,0.5298813970344562,0.2938276297557339,0.29375766720158086,-0.000587073782008285,-6.996255415303576e-05
allenai/OLMo-2-1124-13B,OLMo,99000,13.0,0.5297835579263154,0.5298961895178834,0.2940881755572351,0.2939350625687016,-0.00011263159156804647,-0.0001531129885334881
allenai/OLMo-2-1124-13B,OLMo,120000,13.0,0.529378432071358,0.5292739780782629,0.2944382079801021,0.294270403704018,0.0001044539930951105,-0.00016780427608409365
